Item Group Code,Item Group,Item Code,Item,Factor,CPC Code,HS Code,HS07 Code,HS12 Code
1714,"Crops, primary",536,Plums and sloes,1,1346,,80940,80940
1714,"Crops, primary",507,Pomelos and grapefruits,1,1321,,80540,80540
1714,"Crops, primary",296,Poppy seed,1,1448,,120791,120791
1714,"Crops, primary",116,Potatoes,1,1510,,"070110, 070190","070110, 070190"
1714,"Crops, primary",394,"Pumpkins, squash and gourds",1,1235,,70990,70993
1714,"Crops, primary",754,"Pyrethrum, dried flowers",1,1930.02,,121190,121190
1714,"Crops, primary",523,Quinces,1,1342.02,,80820,80840
1714,"Crops, primary",92,Quinoa,1,1194,,100890,100850
1714,"Crops, primary",788,"Ramie, raw or retted",1,1929.04,,530500,530500
1714,"Crops, primary",270,Rape or colza seed,1,1443,,"120510, 120590","120510, 120590"
1714,"Crops, primary",547,Raspberries,1,1353.01,,81020,81020
1714,"Crops, primary",27,Rice,1,113,,100610,100610
1714,"Crops, primary",71,Rye,1,116,,100200,"100210, 100290"
1714,"Crops, primary",280,Safflower seed,1,1446,,120799,120760
1714,"Crops, primary",328,"Seed cotton, unginned",1,1921.01,,520100,520100
1714,"Crops, primary",289,Sesame seed,1,1444,,120740,120740
1714,"Crops, primary",789,"Sisal, raw",1,1929.05,,530500,530500
1714,"Crops, primary",83,Sorghum,1,114,,100700,"100710, 100790"
1714,"Crops, primary",530,Sour cherries,1,1344.01,,80920,80921
1714,"Crops, primary",236,Soya beans,1,141,,120100,"120110, 120190"
1714,"Crops, primary",373,Spinach,1,1215,,70970,70970
1714,"Crops, primary",544,Strawberries,1,1354,,81010,81010
1714,"Crops, primary",423,String beans,1,1241.01,,70820,70820
1714,"Crops, primary",157,Sugar beet,1,1801,,121291,121291
1714,"Crops, primary",156,Sugar cane,1,1802,,121299,121293
1714,"Crops, primary",267,Sunflower seed,1,1445,,120600,120600
1714,"Crops, primary",122,Sweet potatoes,1,1530,,71420,71420
1714,"Crops, primary",305,Tallowtree seeds,1,1499.04,,120799,120799
1714,"Crops, primary",495,"Tangerines, mandarins, clementines",1,1324,,80520,80520
1714,"Crops, primary",136,Taro,1,1550,,71490,71440
1714,"Crops, primary",667,Tea leaves,1,1620,,"090210, 090220, 090230, 090240","090210, 090220, 090230, 090240"
1714,"Crops, primary",388,Tomatoes,1,1234,,70200,70200
1714,"Crops, primary",97,Triticale,1,1191,,100890,100860
1714,"Crops, primary",777,"True hemp, raw or retted",1,1929.02,,"530210, 530290","530210, 530290"
1714,"Crops, primary",275,Tung nuts,1,1499.02,,120799,120799
1714,"Crops, primary",826,Unmanufactured tobacco,1,1970,,"240110, 240120, 240130","240110, 240120, 240130"
1714,"Crops, primary",692,"Vanilla, raw",1,1658,,90500,"090510, 090520"
1714,"Crops, primary",205,Vetches,1,1709.01,,121490,121490
1714,"Crops, primary",222,"Walnuts, in shell",1,1376,,80231,80231
1714,"Crops, primary",567,Watermelons,1,1221,,80711,80711
1714,"Crops, primary",15,Wheat,1,111,,"100110, 100190","100111, 100119, 100191, 100199"
1714,"Crops, primary",137,Yams,1,1540,,71490,71430
1714,"Crops, primary",135,Yautia,1,1591,,71490,71450
1717,"Cereals, primary",44,Barley,1,115,,100300,"100310, 100390"
1717,"Cereals, primary",89,Buckwheat,1,1192,,100810,100810
1717,"Cereals, primary",101,Canary seed,1,1195,,100830,100830
1717,"Cereals, primary",108,Cereals n.e.c.,1,1199.9,,100890,100890
1717,"Cereals, primary",94,Fonio,1,1193,,100890,100840
1717,"Cereals, primary",56,Maize (corn),1,112,,"100510, 100590","100510, 100590"
1717,"Cereals, primary",79,Millet,1,118,,100820,"100821, 100829"
1717,"Cereals, primary",103,Mixed grain,1,1199.02,,100890,100890
1717,"Cereals, primary",75,Oats,1,117,,100400,"100410, 100490"
1717,"Cereals, primary",92,Quinoa,1,1194,,100890,100850
1717,"Cereals, primary",27,Rice,1,113,,100610,100610
1717,"Cereals, primary",71,Rye,1,116,,100200,"100210, 100290"
1717,"Cereals, primary",83,Sorghum,1,114,,100700,"100710, 100790"
1717,"Cereals, primary",97,Triticale,1,1191,,100890,100860
1717,"Cereals, primary",15,Wheat,1,111,,"100110, 100190","100111, 100119, 100191, 100199"
1720,"Roots and Tubers, Total",125,"Cassava, fresh",1,1520.01,,71410,71410
1720,"Roots and Tubers, Total",149,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",1,1599.1,,71490,71490
1720,"Roots and Tubers, Total",116,Potatoes,1,1510,,"070110, 070190","070110, 070190"
1720,"Roots and Tubers, Total",122,Sweet potatoes,1,1530,,71420,71420
1720,"Roots and Tubers, Total",136,Taro,1,1550,,71490,71440
1720,"Roots and Tubers, Total",137,Yams,1,1540,,71490,71430
1720,"Roots and Tubers, Total",135,Yautia,1,1591,,71490,71450
1723,Sugar Crops Primary,161,Other sugar crops n.e.c.,1,1809,,121299,121299
1723,Sugar Crops Primary,157,Sugar beet,1,1801,,121291,121291
1723,Sugar Crops Primary,156,Sugar cane,1,1802,,121299,121293
1726,"Pulses, Total",203,"Bambara beans, dry",1,1708,,71339,71334
1726,"Pulses, Total",176,"Beans, dry",1,1701,,"071331, 071332, 071333, 071339","071331, 071332, 071333, 071339"
1726,"Pulses, Total",181,"Broad beans and horse beans, dry",1,1702,,71350,71350
1726,"Pulses, Total",191,"Chick peas, dry",1,1703,,71320,71320
1726,"Pulses, Total",195,"Cow peas, dry",1,1706,,71339,71335
1726,"Pulses, Total",201,"Lentils, dry",1,1704,,71340,71340
1726,"Pulses, Total",210,Lupins,1,1709.02,,121490,121490
1726,"Pulses, Total",211,Other pulses n.e.c.,1,1709.9,,71390,71390
1726,"Pulses, Total",187,"Peas, dry",1,1705,,71310,71310
1726,"Pulses, Total",197,"Pigeon peas, dry",1,1707,,71390,71360
1726,"Pulses, Total",205,Vetches,1,1709.01,,121490,121490
1729,"Treenuts, Total",221,"Almonds, in shell",1,1371,,80211,80211
1729,"Treenuts, Total",216,"Brazil nuts, in shell",1,1377,,80121,80121
1729,"Treenuts, Total",217,"Cashew nuts, in shell",1,1372,,80131,80131
1729,"Treenuts, Total",220,"Chestnuts, in shell",1,1373,,80240,"080241, 080242"
1729,"Treenuts, Total",225,"Hazelnuts, in shell",1,1374,,80221,80221
1729,"Treenuts, Total",234,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",1,1379.9,,"080260, 080290","080261, 080262, 080290"
1729,"Treenuts, Total",223,"Pistachios, in shell",1,1375,,80250,"080251, 080252"
1729,"Treenuts, Total",222,"Walnuts, in shell",1,1376,,80231,80231
1730,Oilcrops Primary,265,Castor oil seeds,1,1447,,120799,120730
1730,Oilcrops Primary,249,"Coconuts, in shell",1,1460,,80119,"080112, 080119"
1730,Oilcrops Primary,242,"Groundnuts, excluding shelled",1,142,,"120210, 120220","120230, 120241"
1730,Oilcrops Primary,336,Hempseed,1,1449.02,,120799,120799
1730,Oilcrops Primary,277,Jojoba seeds,1,1499.03,,120799,120799
1730,Oilcrops Primary,310,Kapok fruit,0.66,1499.05,,120799,120799
1730,Oilcrops Primary,263,Karite nuts (sheanuts),1,1499.01,,120799,120799
1730,Oilcrops Primary,333,Linseed,1,1441,,120400,120400
1730,Oilcrops Primary,299,Melonseed,1,1449.01,,120799,120770
1730,Oilcrops Primary,292,Mustard seed,1,1442,,120750,120750
1730,Oilcrops Primary,254,Oil palm fruit,1,1491.01,,120799,120710
1730,Oilcrops Primary,260,Olives,1,1450,,70990,70992
1730,Oilcrops Primary,339,"Other oil seeds, n.e.c.",1,1449.9,,120799,120799
1730,Oilcrops Primary,296,Poppy seed,1,1448,,120791,120791
1730,Oilcrops Primary,270,Rape or colza seed,1,1443,,"120510, 120590","120510, 120590"
1730,Oilcrops Primary,280,Safflower seed,1,1446,,120799,120760
1730,Oilcrops Primary,328,"Seed cotton, unginned",0.63,1921.01,,520100,520100
1730,Oilcrops Primary,289,Sesame seed,1,1444,,120740,120740
1730,Oilcrops Primary,236,Soya beans,1,141,,120100,"120110, 120190"
1730,Oilcrops Primary,267,Sunflower seed,1,1445,,120600,120600
1730,Oilcrops Primary,305,Tallowtree seeds,1,1499.04,,120799,120799
1730,Oilcrops Primary,275,Tung nuts,1,1499.02,,120799,120799
1732,"Oilcrops, Oil Equivalent",265,Castor oil seeds,0.4,1447,,120799,120730
1732,"Oilcrops, Oil Equivalent",249,"Coconuts, in shell",0.13,1460,,80119,"080112, 080119"
1732,"Oilcrops, Oil Equivalent",242,"Groundnuts, excluding shelled",0.3,142,,"120210, 120220","120230, 120241"
1732,"Oilcrops, Oil Equivalent",336,Hempseed,0.24,1449.02,,120799,120799
1732,"Oilcrops, Oil Equivalent",277,Jojoba seeds,0.35,1499.03,,120799,120799
1732,"Oilcrops, Oil Equivalent",310,Kapok fruit,0.0924,1499.05,,120799,120799
1732,"Oilcrops, Oil Equivalent",263,Karite nuts (sheanuts),0.25,1499.01,,120799,120799
1732,"Oilcrops, Oil Equivalent",333,Linseed,0.35,1441,,120400,120400
1732,"Oilcrops, Oil Equivalent",299,Melonseed,0.3,1449.01,,120799,120770
1732,"Oilcrops, Oil Equivalent",292,Mustard seed,0.36,1442,,120750,120750
1732,"Oilcrops, Oil Equivalent",254,Oil palm fruit,0.2176,1491.01,,120799,120710
1732,"Oilcrops, Oil Equivalent",260,Olives,0.22,1450,,70990,70992
1732,"Oilcrops, Oil Equivalent",339,"Other oil seeds, n.e.c.",0.3,1449.9,,120799,120799
1732,"Oilcrops, Oil Equivalent",296,Poppy seed,0.45,1448,,120791,120791
1732,"Oilcrops, Oil Equivalent",270,Rape or colza seed,0.38,1443,,"120510, 120590","120510, 120590"
1732,"Oilcrops, Oil Equivalent",280,Safflower seed,0.35,1446,,120799,120760
1732,"Oilcrops, Oil Equivalent",328,"Seed cotton, unginned",0.1008,1921.01,,520100,520100
1732,"Oilcrops, Oil Equivalent",289,Sesame seed,0.43,1444,,120740,120740
1732,"Oilcrops, Oil Equivalent",236,Soya beans,0.18,141,,120100,"120110, 120190"
1732,"Oilcrops, Oil Equivalent",267,Sunflower seed,0.41,1445,,120600,120600
1732,"Oilcrops, Oil Equivalent",305,Tallowtree seeds,0.3,1499.04,,120799,120799
1732,"Oilcrops, Oil Equivalent",275,Tung nuts,0.16,1499.02,,120799,120799
1735,Vegetables Primary,366,Artichokes,1,1216,,70990,70991
1735,Vegetables Primary,367,Asparagus,1,1211,,70920,70920
1735,Vegetables Primary,420,"Broad beans and horse beans, green",1,1243,,70890,70890
1735,Vegetables Primary,358,Cabbages,1,1212,,"070420, 070490","070420, 070490"
1735,Vegetables Primary,426,Carrots and turnips,1,1251,,70610,70610
1735,Vegetables Primary,378,Cassava leaves,1,1219.01,,70990,70999
1735,Vegetables Primary,393,Cauliflowers and broccoli,1,1213,,70410,70410
1735,Vegetables Primary,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1,1231,,70960,70960
1735,Vegetables Primary,397,Cucumbers and gherkins,1,1232,,70700,70700
1735,Vegetables Primary,399,Eggplants (aubergines),1,1233,,70930,70930
1735,Vegetables Primary,446,Green corn (maize),1,1290.01,,70990,70999
1735,Vegetables Primary,406,Green garlic,1,1252,,70320,70320
1735,Vegetables Primary,407,Leeks and other alliaceous vegetables,1,1254,,70390,70390
1735,Vegetables Primary,372,Lettuce and chicory,1,1214,,"070511, 070519, 070521, 070529","070511, 070519, 070521, 070529"
1735,Vegetables Primary,449,Mushrooms and truffles,1,1270,,"070951, 070959","070951, 070959"
1735,Vegetables Primary,430,Okra,1,1239.01,,70990,70999
1735,Vegetables Primary,403,"Onions and shallots, dry (excluding dehydrated)",1,1253.02,,70310,70310
1735,Vegetables Primary,402,"Onions and shallots, green",1,1253.01,,70310,70310
1735,Vegetables Primary,414,"Other beans, green",1,1241.9,,70820,70820
1735,Vegetables Primary,463,"Other vegetables, fresh n.e.c.",1,1290.9,,"070690, 070940, 070990","070690, 070940, 070999"
1735,Vegetables Primary,417,"Peas, green",1,1242,,70810,70810
1735,Vegetables Primary,394,"Pumpkins, squash and gourds",1,1235,,70990,70993
1735,Vegetables Primary,373,Spinach,1,1215,,70970,70970
1735,Vegetables Primary,423,String beans,1,1241.01,,70820,70820
1735,Vegetables Primary,388,Tomatoes,1,1234,,70200,70200
1738,Fruit Primary,515,Apples,1,1341,,80810,80810
1738,Fruit Primary,526,Apricots,1,1343,,80910,80910
1738,Fruit Primary,572,Avocados,1,1311,,80440,80440
1738,Fruit Primary,486,Bananas,1,1312,,80300,80390
1738,Fruit Primary,552,Blueberries,1,1355.01,,81040,81040
1738,Fruit Primary,568,Cantaloupes and other melons,1,1229,,80719,80719
1738,Fruit Primary,591,Cashewapple,1,1359.02,,81090,81090
1738,Fruit Primary,531,Cherries,1,1344.02,,80920,80929
1738,Fruit Primary,554,Cranberries,1,1355.02,,81040,81040
1738,Fruit Primary,550,Currants,1,1351.01,,81090,81030
1738,Fruit Primary,577,Dates,1,1314,,80410,80410
1738,Fruit Primary,569,Figs,1,1315,,80420,80420
1738,Fruit Primary,549,Gooseberries,1,1351.02,,81090,81030
1738,Fruit Primary,560,Grapes,1,1330,,80610,80610
1738,Fruit Primary,592,Kiwi fruit,1,1352,,81050,81050
1738,Fruit Primary,497,Lemons and limes,1,1322,,80550,80550
1738,Fruit Primary,461,Locust beans (carobs),1,1356,,121299,121292
1738,Fruit Primary,571,"Mangoes, guavas and mangosteens",1,1316,,80450,80450
1738,Fruit Primary,490,Oranges,1,1323,,80510,80510
1738,Fruit Primary,558,Other berries and fruits of the genus vaccinium n.e.c.,1,1355.9,,"081020, 081040","081020, 081040"
1738,Fruit Primary,512,"Other citrus fruit, n.e.c.",1,1329,,80590,80590
1738,Fruit Primary,619,"Other fruits, n.e.c.",1,1359.9,,81090,81090
1738,Fruit Primary,542,Other pome fruits,1,1349.1,,81090,81090
1738,Fruit Primary,541,Other stone fruits,1,1349.2,,81090,81090
1738,Fruit Primary,603,"Other tropical fruits, n.e.c.",1,1319,,"080450, 081060, 081090","080450, 081060, 081090"
1738,Fruit Primary,600,Papayas,1,1317,,80720,80720
1738,Fruit Primary,534,Peaches and nectarines,1,1345,,80930,80930
1738,Fruit Primary,521,Pears,1,1342.01,,80820,80830
1738,Fruit Primary,587,Persimmons,1,1359.01,,81090,81070
1738,Fruit Primary,574,Pineapples,1,1318,,80430,80430
1738,Fruit Primary,489,Plantains and cooking bananas,1,1313,,80300,80310
1738,Fruit Primary,536,Plums and sloes,1,1346,,80940,80940
1738,Fruit Primary,507,Pomelos and grapefruits,1,1321,,80540,80540
1738,Fruit Primary,523,Quinces,1,1342.02,,80820,80840
1738,Fruit Primary,547,Raspberries,1,1353.01,,81020,81020
1738,Fruit Primary,530,Sour cherries,1,1344.01,,80920,80921
1738,Fruit Primary,544,Strawberries,1,1354,,81010,81010
1738,Fruit Primary,495,"Tangerines, mandarins, clementines",1,1324,,80520,80520
1738,Fruit Primary,567,Watermelons,1,1221,,80711,80711
1745,Cheese (All Kinds),955,"Cheese from milk of buffalo, fresh or processed",1,22252,,"040610, 040620, 040630, 040640, 040690","040610, 040620, 040630, 040640, 040690"
1745,Cheese (All Kinds),1021,"Cheese from milk of goats, fresh or processed",1,22254,,"040610, 040620, 040630, 040640, 040690","040610, 040620, 040630, 040640, 040690"
1745,Cheese (All Kinds),984,"Cheese from milk of sheep, fresh or processed",1,22253,,"040610, 040620, 040630, 040640, 040690","040610, 040620, 040630, 040640, 040690"
1745,Cheese (All Kinds),904,Cheese from skimmed cow milk,1,22251.02,,"040610, 040620, 040630, 040640, 040690","040610, 040620, 040630, 040640, 040690"
1745,Cheese (All Kinds),901,Cheese from whole cow milk,1,22251.01,,"040610, 040620, 040630, 040640, 040690","040610, 040620, 040630, 040640, 040690"
1746,Cattle and Buffaloes,946,Buffalo,1,2112,,"010210, 010290","010231, 010239"
1746,Cattle and Buffaloes,866,Cattle,1,2111,,"010210, 010290","010221, 010229"
1749,Sheep and Goats,1016,Goats,1,2123,,10420,10420
1749,Sheep and Goats,976,Sheep,1,2122,,10410,10410
1753,Fibre Crops Primary,809,"Abaca, manila hemp, raw",1,1929.07,,530500,530500
1753,Fibre Crops Primary,800,"Agave fibres, raw, n.e.c.",1,1929.06,,530500,530500
1753,Fibre Crops Primary,771,"Flax, raw or retted",1,1929.01,,530110,530110
1753,Fibre Crops Primary,780,"Jute, raw or retted",1,1922.01,,"530310, 530390","530310, 530390"
1753,Fibre Crops Primary,310,Kapok fruit,0.33,1499.05,,120799,120799
1753,Fibre Crops Primary,782,"Kenaf, and other textile bast fibres, raw or retted",1,1922.02,,"530310, 530390","530310, 530390"
1753,Fibre Crops Primary,821,"Other fibre crops, raw, n.e.c.",1,1929.9,,530500,530500
1753,Fibre Crops Primary,788,"Ramie, raw or retted",1,1929.04,,530500,530500
1753,Fibre Crops Primary,328,"Seed cotton, unginned",0.35,1921.01,,520100,520100
1753,Fibre Crops Primary,789,"Sisal, raw",1,1929.05,,530500,530500
1753,Fibre Crops Primary,777,"True hemp, raw or retted",1,1929.02,,"530210, 530290","530210, 530290"
1756,Live Animals,1107,Asses,1,2132,,"010110, 010190",10130
1756,Live Animals,946,Buffalo,1,2112,,"010210, 010290","010231, 010239"
1756,Live Animals,1126,Camels,1,2121.01,,10619,10613
1756,Live Animals,866,Cattle,1,2111,,"010210, 010290","010221, 010229"
1756,Live Animals,1057,Chickens,1,2151,,"010511, 010519, 010594, 010599","010511, 010515, 010594, 010599"
1756,Live Animals,1068,Ducks,1,2154,,"010519, 010599","010513, 010599"
1756,Live Animals,1072,Geese,1,2153,,"010519, 010599","010514, 010599"
1756,Live Animals,1016,Goats,1,2123,,10420,10420
1756,Live Animals,1096,Horses,1,2131,,"010110, 010190","010121, 010129"
1756,Live Animals,1110,Mules and hinnies,1,2133,,10190,10190
1756,Live Animals,1083,Other birds,1,2194,,"010631, 010632, 010639","010631, 010632, 010639"
1756,Live Animals,1157,Other camelids,1,2121.02,,10619,10613
1756,Live Animals,1150,Other rodents,1,2192.01,,10619,10619
1756,Live Animals,1140,Rabbits and hares,1,2191,,10619,10614
1756,Live Animals,976,Sheep,1,2122,,10410,10410
1756,Live Animals,1034,Swine / pigs,1,2140,,"010310, 010391, 010392","010310, 010391, 010392"
1756,Live Animals,1079,Turkeys,1,2152,,"010512, 010599","010512, 010599"
